country,country_code,year,gdp_per_capita_constant_2015_usd,life_expectancy,log_gdp_per_capita,population,region,income_group,log_gdp_pc
Albania,ALB,2024,6549.23387415397,79.776,8.78710335601025,2377128.0,Europe & Central Asia,Upper middle income,8.78710335601025
Algeria,DZA,2024,4765.72900168387,76.475,8.46920579529591,46814308.0,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,8.46920579529591
Andorra,AND,2024,41034.5266723078,84.188,10.6221691052661,81938.0,Europe & Central Asia,High income,10.6221691052661
Angola,AGO,2024,2845.47779302975,64.805,7.95348627377085,37885849.0,Sub-Saharan Africa ,Lower middle income,7.95348627377085
Antigua and Barbuda,ATG,2024,18350.185036972,77.766,9.81739493719057,93772.0,Latin America & Caribbean ,High income,9.81739493719057
Argentina,ARG,2024,12774.3506596628,77.543,9.45519458479085,45696159.0,Latin America & Caribbean ,Upper middle income,9.45519458479085
Armenia,ARM,2024,5378.31799981682,78.319512195122,8.59013096483468,3033500.0,Europe & Central Asia,Upper middle income,8.59013096483468
Aruba,ABW,2024,33373.9174591266,76.5,10.4155299594949,107995.0,Latin America & Caribbean ,High income,10.4155299594949
Australia,AUS,2024,61480.670710531,83.0512195121951,11.0264781070031,27196812.0,East Asia & Pacific,High income,11.0264781070031
Austria,AUT,2024,45958.8250071261,81.9951219512195,10.7355011660816,9177982.0,Europe & Central Asia,High income,10.7355011660816
Azerbaijan,AZE,2024,5871.14373251952,74.576,8.67780473754266,10202830.0,Europe & Central Asia,Upper middle income,8.67780473754266
"Bahamas, The",BHS,2024,33968.2032187918,74.71,10.4331801665792,401283.0,Latin America & Caribbean ,High income,10.4331801665792
Bahrain,BHR,2024,25812.4504577306,81.423,10.1586122303884,1588670.0,"Middle East, North Africa, Afghanistan & Pakistan",High income,10.1586122303884
Bangladesh,BGD,2024,1941.27874360025,74.93,7.57110218110164,173562364.0,South Asia,Lower middle income,7.57110218110164
Barbados,BRB,2024,21581.2171257633,76.332,9.97957863785945,282467.0,Latin America & Caribbean ,High income,9.97957863785945
Belarus,BLR,2024,6792.13183495565,74.3653414634147,8.82352013813196,9132629.0,Europe & Central Asia,Upper middle income,8.82352013813196
Belgium,BEL,2024,45045.6601021398,82.3,10.7154319232603,11858610.0,Europe & Central Asia,High income,10.7154319232603
Belize,BLZ,2024,6290.49294452749,73.739,8.74679471618297,417072.0,Latin America & Caribbean ,Upper middle income,8.74679471618297
Benin,BEN,2024,1324.78312597434,60.961,7.1890040465136,14462724.0,Sub-Saharan Africa ,Lower middle income,7.1890040465136
Bermuda,BMU,2024,122117.603586776,82.49,11.7127398232267,64636.0,North America,High income,11.7127398232267
Bolivia,BOL,2024,3045.61476602385,68.739,8.02145805337012,12413315.0,Latin America & Caribbean ,Lower middle income,8.02145805337012
Bosnia and Herzegovina,BIH,2024,6730.26828824205,78.044,8.81437028636754,3164253.0,Europe & Central Asia,Upper middle income,8.81437028636754
Botswana,BWA,2024,6937.33180990267,69.293,8.84467251414318,2521139.0,Sub-Saharan Africa ,Upper middle income,8.84467251414318
Brazil,BRA,2024,9566.74408628371,76.023,9.16604820568975,211998573.0,Latin America & Caribbean ,Upper middle income,9.16604820568975
Brunei Darussalam,BRN,2024,29563.8682753082,75.501,10.2943082283174,462721.0,East Asia & Pacific,High income,10.2943082283174
Bulgaria,BGR,2024,10126.8980075708,75.7609756097561,9.22295033194463,6441421.0,Europe & Central Asia,High income,9.22295033194463
Burkina Faso,BFA,2024,763.833733522408,61.292,6.63835013920291,23548781.0,Sub-Saharan Africa ,Low income,6.63835013920291
Burundi,BDI,2024,268.700857391724,63.818,5.5935987065048,14047786.0,Sub-Saharan Africa ,Low income,5.5935987065048
Cabo Verde,CPV,2024,4448.96609078891,76.224,8.4004270090168,524877.0,Sub-Saharan Africa ,Upper middle income,8.4004270090168
Cambodia,KHM,2024,2182.71843902341,70.817,7.68832636931409,17638801.0,East Asia & Pacific,Lower middle income,7.68832636931409
Cameroon,CMR,2024,1480.73097431993,63.968,7.30029114639645,29123744.0,Sub-Saharan Africa ,Lower middle income,7.30029114639645
Canada,CAN,2024,44413.3983847404,82.1080487804878,10.7012964683204,41288599.0,North America,High income,10.7012964683204
Central African Republic,CAF,2024,389.938307964229,57.671,5.96598854190407,5330690.0,Sub-Saharan Africa ,Low income,5.96598854190407
Chad,TCD,2024,849.707321000625,55.238,6.74489196195522,20299123.0,Sub-Saharan Africa ,Low income,6.74489196195522
