"state","state_fips","year","income_pc_thousand","gdp_pc_thousand","unemployment_rate","population"
"Kansas",20,2017,48.955,56.7495598907014,3.64166666666667,2929954
"Kansas",20,2018,51.172,57.8856488697433,3.30833333333333,2933316
"Kansas",20,2019,52.709,57.7342442572129,3.15,2936945
"Kansas",20,2020,55.76,56.6874425883714,5.825,2939300
"Kansas",20,2021,58.663,57.9779712480283,3.43333333333333,2939068
"Kansas",20,2022,62.947,60.4050057949712,2.78333333333333,2943069
"Kansas",20,2023,64.333,60.9800032068478,2.89166666666667,2956174
"Kansas",20,2024,66.898,61.1340663602326,3.51666666666667,2970514
"Kentucky",21,2015,39.174,44.8271212857654,5.25,4450143
"Kentucky",21,2016,39.584,45.0090249938927,5.075,4465931
"Kentucky",21,2017,40.874,45.4241977953318,4.75,4481400
"Kentucky",21,2018,42.085,45.8397457157421,4.2,4492610
"Kentucky",21,2019,43.938,47.0243511431737,4.08333333333333,4503690
"Kentucky",21,2020,46.971,45.8179730324012,6.45,4509189
"Kentucky",21,2021,51.366,47.7521157066321,4.45833333333333,4513622
"Kentucky",21,2022,53.376,48.6770126536256,4.04166666666667,4532772
"Kentucky",21,2023,56.417,49.7308156871957,4.25,4563416
"Kentucky",21,2024,58.991,50.2805124656122,4.81666666666667,4593557
"Louisiana",22,2015,42.43,51.2203699570456,6.26666666666667,4677516
"Louisiana",22,2016,42.66,50.2836047204907,6.04166666666667,4684513
"Louisiana",22,2017,43.944,51.279722876916,5.125,4676911
"Louisiana",22,2018,46.069,52.5165937199037,4.825,4669387
"Louisiana",22,2019,47.374,52.8994570112458,4.63333333333333,4663080
"Louisiana",22,2020,48.941,48.5804227587943,8.68333333333333,4644587
"Louisiana",22,2021,54.374,52.520316859876,5.60833333333333,4618824
"Louisiana",22,2022,56.266,52.1708192633192,3.63333333333333,4601097
"Louisiana",22,2023,59.901,54.0526914592416,3.71666666666667,4605680
"Louisiana",22,2024,62.181,55.6726665284899,4.275,4617273
"Maine",23,2015,43.631,45.267615824344,4.39166666666667,1337888
"Maine",23,2016,44.689,46.2085814628187,3.79166666666667,1342545
"Maine",23,2017,46.576,46.7519919498289,3.375,1347549
"Maine",23,2018,48.226,47.8745542669589,3.175,1353669
"Maine",23,2019,50.615,49.0663860006042,2.9,1360573
"Maine",23,2020,54.545,49.3605817086378,5.11666666666667,1370308
"Maine",23,2021,58.893,51.5600205796406,4.61666666666667,1383892
"Maine",23,2022,62.65,52.2179840260444,2.83333333333333,1395772
"Maine",23,2023,66.223,53.7577151155755,2.63333333333333,1404710
"Maine",23,2024,69.858,55.1003068977955,2.99166666666667,1411219
"Maryland",24,2015,55.491,62.4636284578631,5.03333333333333,6063463
"Maryland",24,2016,57.384,64.3057748569673,4.25,6095112
"Maryland",24,2017,59.078,65.2561754803387,4.06666666666667,6125313
"Maryland",24,2018,60.503,65.4388349546134,3.80833333333333,6150490
"Maryland",24,2019,62.159,65.1803402928131,3.38333333333333,6175270
"Maryland",24,2020,64.882,62.9809561138419,6.51666666666667,6179306
"Maryland",24,2021,68.708,65.8891406903373,5.2,6179472
"Maryland",24,2022,72.346,66.6384236625024,3,6192684
"Maryland",24,2023,76.844,67.5987307657502,2.21666666666667,6221389
"Maryland",24,2024,80.565,69.247108241141,3.16666666666667,6254498
"Massachusetts",25,2015,62.425,74.7175353376779,4.8,6884578
"Massachusetts",25,2016,64.16,75.271020971191,4.01666666666667,6930460
"Massachusetts",25,2017,67.178,76.0098490454418,3.83333333333333,6974483
"Massachusetts",25,2018,70.234,78.4107906859883,3.45833333333333,7004930
"Massachusetts",25,2019,72.658,80.6015956168925,3.05,7026248
"Massachusetts",25,2020,78.524,80.1555578727036,9.34166666666667,6991353
"Massachusetts",25,2021,83.336,85.2454656181473,5.31666666666667,7008232
"Massachusetts",25,2022,88.675,86.2303055355012,3.64166666666667,7044746
"Massachusetts",25,2023,91.245,86.5988612865603,3.46666666666667,7099240
"Massachusetts",25,2024,94.359,87.9892457213848,3.98333333333333,7146179
"Michigan",26,2015,43.547,49.0544284432052,5.41666666666667,10001517
"Michigan",26,2016,44.478,49.8515545286309,4.99166666666667,10032977
"Michigan",26,2017,45.797,50.2039610618797,4.58333333333333,10060989
"Michigan",26,2018,47.508,51.2912042109275,4.16666666666667,10076640
"Michigan",26,2019,49.057,51.6807228168832,4.075,10082775
"Michigan",26,2020,52.318,49.9442102412886,10.075,10063675
"Michigan",26,2021,55.902,52.6373177699177,5.69166666666667,10044239
"Michigan",26,2022,58.996,53.6971378271384,4.15,10052817
"Michigan",26,2023,62.124,55.0243719869892,3.9,10078374
"Michigan",26,2024,64.774,55.5893062164314,4.68333333333333,10113053
"Minnesota",27,2015,51.679,62.4757457574856,3.75833333333333,5529445
"Minnesota",27,2016,52.511,62.8633927594881,3.86666666666667,5577230
"Minnesota",27,2017,54.52,63.0677143996554,3.44166666666667,5624461
"Minnesota",27,2018,57.276,64.3857535813281,3.025,5665845
"Minnesota",27,2019,58.371,64.8574921967616,3.275,5698916
"Minnesota",27,2020,61.694,62.6324893977851,6.29166666666667,5713193
"Minnesota",27,2021,67.138,66.0827583940092,3.68333333333333,5719734
"Minnesota",27,2022,70.654,67.2553808671951,2.41666666666667,5738155
"Minnesota",27,2023,73.66,67.5596360354565,2.79166666666667,5770672
"Minnesota",27,2024,76.635,68.7048861719589,3.13333333333333,5811134
"Mississippi",28,2015,35.307,36.6427889351215,6.45,2985627
"Mississippi",28,2016,35.923,36.8210931922636,5.99166666666667,2985001
"Mississippi",28,2017,36.944,36.9928557867188,5.20833333333333,2981154
"Mississippi",28,2018,38.202,37.05273891451,4.94166666666667,2973459
"Mississippi",28,2019,39.598,37.4895621479069,5.49166666666667,2966367
"Mississippi",28,2020,41.934,37.6267803732325,8,2955209
"Mississippi",28,2021,46.064,39.4069859418868,5.40833333333333,2945630
"Mississippi",28,2022,47.9,39.3221584376399,3.73333333333333,2942369
"Mississippi",28,2023,50.485,40.5490167591052,3.11666666666667,2945921
"Mississippi",28,2024,52.713,41.8026876211927,3.175,2952425
"Missouri",29,2015,43.067,50.6186035466395,5.1,6084915
"Missouri",29,2016,44.176,50.5357051860889,4.575,6103077
"Missouri",29,2017,45.42,50.8515367915616,3.79166666666667,6121227
"Missouri",29,2018,47.388,51.2028453558113,3.23333333333333,6136034
"Missouri",29,2019,49.173,52.2346709269912,3.23333333333333,6151644
"Missouri",29,2020,52.304,51.2985406233962,6.21666666666667,6163111
"Missouri",29,2021,56.258,53.6896429110396,4.11666666666667,6175828
"Missouri",29,2022,59.939,54.4746539900406,2.63333333333333,6190501
"Missouri",29,2023,63.447,55.7600923678686,3.11666666666667,6221211
"Missouri",29,2024,65.614,56.4823352918156,3.7,6255184
"Montana",30,2015,42.958,45.9697459064198,4.24166666666667,1039066
"Montana",30,2016,44.02,44.9094997863474,4.26666666666667,1050771
"Montana",30,2017,45.834,45.6562488225764,4.1,1061640
"Montana",30,2018,47.987,46.206368826888,3.725,1070307
"Montana",30,2019,50.258,46.5264921504739,3.5,1080320
"Montana",30,2020,54.09,45.7336602531192,5.825,1094662
"Montana",30,2021,58.972,47.9626231412493,3.38333333333333,1112239
"Montana",30,2022,63.239,49.598418023863,2.65833333333333,1125175
"Montana",30,2023,67.246,51.7042446870831,2.73333333333333,1133464
"Montana",30,2024,70.431,53.1376310561119,3,1140542
"Nebraska",31,2015,49.683,62.5857841662791,2.975,1911629
"Nebraska",31,2016,48.727,62.9449492250134,3.10833333333333,1927130
"Nebraska",31,2017,50.453,63.5387972686855,2.95833333333333,1939286
"Nebraska",31,2018,52.957,64.3938123294859,2.90833333333333,1949619
"Nebraska",31,2019,54.481,65.1191317238112,3.11666666666667,1959008
"Nebraska",31,2020,58.256,64.5073792566271,4.26666666666667,1964290
"Nebraska",31,2021,62.843,68.6854992344643,2.65833333333333,1967903
"Nebraska",31,2022,67.843,70.6868461453719,2.15833333333333,1978842
"Nebraska",31,2023,71.885,73.7546495605943,2.3,1995081
"Nebraska",31,2024,73.398,73.6561610398601,2.71666666666667,2010732
"Nevada",32,2015,44.218,52.5383318331249,6.86666666666667,2875156
"Nevada",32,2016,44.912,53.3437052284609,5.83333333333333,2924570
"Nevada",32,2017,47.345,54.8204653450114,5.00833333333333,2976974
"Nevada",32,2018,50.122,55.5886469463221,4.40833333333333,3033686
"Nevada",32,2019,52.552,56.9994712248188,4.10833333333333,3088269
"Nevada",32,2020,54.474,53.0169619335039,13.675,3129655
"Nevada",32,2021,60.501,57.793399490545,6.84166666666667,3159847
"Nevada",32,2022,64.211,60.9431424983555,5.225,3190907
"Nevada",32,2023,68.113,62.3211345276545,5.11666666666667,3227775
"Nevada",32,2024,71.147,63.5023580030154,5.39166666666667,3265263
"New Hampshire",33,2015,55.263,58.8906600459874,3.39166666666667,1346891
"New Hampshire",33,2016,56.065,59.6027081636917,2.89166666666667,1354571
"New Hampshire",33,2017,58.695,59.6169748385457,2.80833333333333,1361686
