"age","female","employed","bachelor","personal_income","high_income","ln_age"
56,1,0,0,19000,0,4.02535169073515
54,1,0,0,8200,0,3.98898404656427
38,1,0,0,0,0,3.63758615972639
45,1,0,0,2600,0,3.80666248977032
28,0,0,0,65000,0,3.3322045101752
57,1,0,1,0,0,4.04305126783455
28,0,0,0,0,0,3.3322045101752
39,0,0,0,0,0,3.66356164612965
25,0,1,1,50610,0,3.2188758248682
62,1,0,0,25900,0,4.12713438504509
57,1,0,1,0,0,4.04305126783455
44,0,0,0,0,0,3.78418963391826
53,0,0,0,2100,0,3.97029191355212
40,0,0,0,0,0,3.68887945411394
40,0,0,0,0,0,3.68887945411394
61,0,0,0,16800,0,4.11087386417331
48,1,0,0,22600,0,3.87120101090789
46,0,0,0,0,0,3.8286413964891
43,0,0,0,10900,0,3.76120011569356
41,0,0,0,0,0,3.71357206670431
44,0,0,0,22900,0,3.78418963391826
56,0,0,0,17800,0,4.02535169073515
31,1,1,0,60000,0,3.43398720448515
33,0,0,0,0,0,3.49650756146648
44,0,0,0,0,0,3.78418963391826
30,0,0,1,0,0,3.40119738166216
34,0,0,0,0,0,3.52636052461616
64,1,0,0,600,0,4.15888308335967
36,0,0,0,0,0,3.58351893845611
56,0,0,1,13600,0,4.02535169073515
42,0,0,0,0,0,3.73766961828337
43,1,0,0,2100,0,3.76120011569356
26,0,0,0,0,0,3.25809653802148
59,0,0,0,0,0,4.07753744390572
63,0,0,0,13000,0,4.14313472639153
52,0,0,0,24500,0,3.95124371858143
39,1,0,0,0,0,3.66356164612965
37,0,0,1,80000,0,3.61091791264422
38,0,0,0,0,0,3.63758615972639
49,0,0,0,22200,0,3.89182029811063
48,0,1,0,33700,0,3.87120101090789
31,0,0,0,54000,0,3.43398720448515
30,0,0,1,32400,0,3.40119738166216
37,0,0,0,12700,0,3.61091791264422
61,1,0,0,28800,0,4.11087386417331
62,0,0,0,2700,0,4.12713438504509
57,0,0,0,13000,0,4.04305126783455
34,1,1,1,684000,1,3.52636052461616
47,0,0,0,0,0,3.85014760171006
61,0,0,1,188000,1,4.11087386417331
28,1,0,1,0,0,3.3322045101752
48,0,0,0,0,0,3.87120101090789
41,0,0,0,85000,0,3.71357206670431
60,0,1,0,10000,0,4.0943445622221
58,0,0,0,14600,0,4.06044301054642
56,1,0,0,11000,0,4.02535169073515
63,1,0,0,24700,0,4.14313472639153
63,0,0,0,15600,0,4.14313472639153
60,0,0,0,480,0,4.0943445622221
53,0,0,0,0,0,3.97029191355212
25,0,0,0,1300,0,3.2188758248682
33,0,0,0,0,0,3.49650756146648
47,0,0,0,0,0,3.85014760171006
27,0,0,0,0,0,3.29583686600433
59,0,0,0,0,0,4.07753744390572
56,0,0,0,1400,0,4.02535169073515
34,1,0,1,0,0,3.52636052461616
48,0,0,0,0,0,3.87120101090789
29,0,0,0,0,0,3.36729582998647
54,0,0,0,0,0,3.98898404656427
54,0,0,0,480,0,3.98898404656427
53,0,0,0,13900,0,3.97029191355212
58,1,0,0,6100,0,4.06044301054642
32,1,1,0,18000,0,3.46573590279973
51,0,0,0,0,0,3.93182563272433
60,0,0,0,11800,0,4.0943445622221
48,1,1,0,12000,0,3.87120101090789
62,0,0,0,0,0,4.12713438504509
36,0,0,0,21900,0,3.58351893845611
62,0,0,0,0,0,4.12713438504509
42,0,0,0,0,0,3.73766961828337
